food_id,serving_text,serving_weight,is_grams
753,6 pieces (30 g),30.0,True
754,250ml,250.0,False
755,1unidad,,True
756,2 unidad/pieces (29 g),29.0,True
757,30 g,30,True
758,1 unidad/unidade 25 g,25.0,True
759,20g,20,True
760,1 cuchara de sopa (10 g),10.0,True
761,30 g,30,True
762,5unidades,,True
763,1 alfajor (60 g),60.0,True
764,120g,120,True
765,2unidades,,True
766,25g,25,True
767,4.5unidades,,True
768,200 ml,200.0,False
769,11 galletitas 50 g,50,True
770,24g,24,True
771,20g,20,True
772,100 g,,True
773,100 g,,True
774,50 unidades (30 g),30.0,True
775,75g,75,True
776,5.7g,5.7,True
777,200ml,200,False
778,2 galletas (30 g),30.0,True
779,20g,20,True
780,100 g,,True
781,1 cookie (61 g),61.0,True
782,2 galletas (30 g),30,True
783,60 g,60.0,True
784,14 g,14,True
785,30g,30.0,True
786,30g,30,True
787,1 cucharada sopera (10 g),10,True
788,21g,21,True
789,"0,45 ml",0.45,False
790,23g,23,True
791,4unidades,,True
792,25 g,25,True
793,36g,36,True
794,30g,30,True
795,190g,190.0,True
796,100 g,,True
797,2 unidades 29 g,29.0,True
798,100 g,,True
799,6 láminas 80 g,80,True
800,1 tableta 38 g,38.0,True
801,1 vaso 200 ml,200,False
802,10unidaded,,True
803,3g,3,True
804,45g,45,True
805,10g,10,True
806,1 unidad 55 g,55.0,True
807,100g,100,True
808,12g,12,True
809,120g,120.0,True
810,200g,200.0,True
811,20g,20,True
812,200 ml,200,False
813,12g,12,True
814,20g,20.0,True
815,12.5g,12.5,True
816,185g,185.0,True
817,1 cuchara de sopa 30 g,30,True
818,30g,30,True
819,66g,66.0,True
820,30g,30,True
821,69 g,69,True
822,200ml,200,False
823,149g,149.0,True
824,30 g,30,True
825,1 portion (0.5 g),0.5,True
826,80g,80,True
827,4 galletitas/units 30 g,30,True
828,100 g,,True
829,60g,60.0,True
830,50g,50,True
831,15 galletitas/snacks (31 g),31.0,True
832,200 ml (1 vaso),200.0,False
833,1/2 taza de té (50 g),50,True
834,5g,5.0,True
835,1 alfajor 46g,46.0,True
836,32g,32,True
837,25 g,25.0,True
838,50 g,50.0,True
839,30g,30,True
840,100 g,,True
841,1 portion (12 g),12.0,True
842,100 g,,True
843,1 serving (30 g),30.0,True
844,100 g,,True
845,50 g,50,True
846,1l,1000.0,False
847,30g,30.0,True
848,3 galletas 27 g,27.0,True
849,1l,1000.0,False
850,20g,20.0,True
851,85 g,85.0,True
852,200 ml,200.0,False
853,164g,164.0,True
854,20g,20,True
855,200ml,200,False
856,10 tostadas (30 g),30.0,True
857,100 g,100.0,True
858,6 galletitas/crackers 29 g,29.0,True
859,1 taza (30 g),30,True
860,1 tableta 27 g,27.0,True
861,12 g,12.0,True
862,1 cuadradito/square 17 g,17.0,True
863,10g,10.0,True
864,100 g,,True
865,200ml,200.0,False
866,1 l,1000,False
867,30 g,30.0,True
868,20 g,20,True
869,1 rebanada/slice (40 g),40.0,True
870,1/2 taza 40 g,40.0,True
871,30 g,30.0,True
872,200ml,200,False
873,100 g,,True
874,1/2 taza (50 g),50.0,True
875,100 g,,True
876,100 g,,True
877,200 ml,200,False
878,1 alfajor (85 g),85.0,True
879,5g,5,True
880,"0,3 ml",0.3,False
881,25 g,25.0,True
882,4g,4,True
883,100 g,,True
884,1/2 taza de té 130 g,130.0,True
885,100 g,,True
886,30g,30,True
887,4 cucharadas 15 g,15,True
888,30g,30,True
889,200 ml,200,False
890,1 paquete/pack (45 g),45.0,True
891,25g,25,True
892,20 g (2.5 cucharas / 200ml),200.0,True
893,5 crackers (30 g),30.0,True
894,200 ml,200.0,False
895,12 tostadas (30 g),30.0,True
896,3 cucharas 60 g,60.0,True
897,60g,60.0,True
898,4 unidades (30 g),30.0,True
899,30 g,30.0,True
900,4 unidades (30 g),30.0,True
901,1 cracker 30 g,30.0,True
902,30 g,30.0,True
903,5ml,5.0,False
904,20 g,20.0,True
905,130 g,130.0,True
906,30g,30.0,True
907,30 g,30,True
908,200ml,200,False
909,1 teaspoon (2.5 g),2.5,True
910,200 ml,200.0,False
911,3 tostadas (30 g),30.0,True
912,125 g,125.0,True
913,30g,30,True
