id,barcode,name
730,7795293202202,"pan lactal don yeyo, Don Yeyo"
731,17901507,"Condimento para carnes, Alicante"
732,7798022226098,Harina de Maiz para preparar - San Remo
733,7790580178208,"Frutales, Arcor"
734,7790040613706,"Alfajor bon o bon, Arcor, bon o bon"
735,0070847032861,"Monster energy ultra, Monster"
736,7791875000471,"Havannets Chocolate, Havanna, Havannets"
737,7791324157046,"Pitusas, Pitusas,Par-Nor"
738,7791337602014,"Original, Danone,La Serenísima"
739,7790072001014,"Sal fina, Celusal,Timbo"
740,7791218000731,"Sustituto cárnico - Proteína de soja texturizada - Pollo, Magia"
741,7790895064210,"SPRITE ZERO, Sprite, Coca-Cola"
742,7790070416513,"YoguBar de arroz sabor yogur, gallo,Gallo Snacks"
743,7790045000914,"Salvado sin sal, Granix"
744,7790206523283,"Refresco, Fel-Fort"
745,7798131370026,Tapalin
746,7798108344685,"galletas marineras, Carrefour"
747,7790045823858,"bizcochitos, Granix"
748,7790040569706,"Hogareñas 7 semillas, "
749,7790895643651,"Ades Chocolatada, Ades"
750,7791813421511,"H2OH, Pepsico"
751,7798116160024,tahiti
752,7790070320001,"Cabello de Angel, Matarazzo"
753,7613035494800,"Nestle nido fortigrow, Nestlé"
754,7790580509606,"Mermelada de Frutilla, Arcor"
755,7790040120150,Saladix milanesitas
756,7793046002215,"Dulce de Batata sabor Vainilla y Chocolate, Dulcor"
757,7790580108489,"Relleno de Bon o Bon, Arcor"
758,19410005,polvorones
759,7791337099555,"Ser Crunch Berries, Danone, ser"
760,7790040331204,"Tatín Alfajor Negro con Dulce de Leche, Arcor, Tatín"
761,7790040996304,"Bagley B, Bagley"
762,7792129002203,"Sucralosa, Sucaryl"
763,7790150110157,"cafe descafeinado, Kalma,La virginia"
764,7730332001040,Arvejas rehidratadas al natural
765,7791885005053,", Cumaná"
766,7790878108177,"El turista chocolate 70%, El turista"
767,7791720003015,"Lentejas secas remojadas, Carrefour"
768,7794000598591,"Quick light, Knorr"
769,7792640002324,Capilatis enjuague linea ecologica nutritivo
770,7790710000256,"Frutos del Valle, CBSé"
771,7794940000819,"Hileret, Hilerer"
772,7790070411358,"Gallo snacks, Gallo snacks"
773,7790045000860,"GranoVita coco, Granix,GranoVita"
774,7796613004254,M
775,7794000598898,"salsa lista knorr portuguesa, Knorr"
776,7798289510015,sicsa
777,01461381,sicsa
778,7798179490236,"Ns galletas marineras veganas, NS Galletas"
779,7790070415325,"Lucchetti arroz integral, Lucchetti"
780,7790123001109,Vigente pure de tomates
781,7790940233004,Doncella protectores diarios
782,7798117210209,el cortijo aceite de girasol
783,7798031151862,"Sol pampeano fideos secos, "
784,7791615001270,Livorno fideos codito
785,7798123139563,"Vainillas, Great Value"
786,7794529000292,"Tostadas light, Breviss"
787,7794940000116,"Endulzante en sobres, Hileret"
788,7790040118652,snacks a base de papa
789,7622300869878,"Oreo Doradas Golden, Oreo"
790,7792180001528,"Cañuelas, molino Cañuelas"
791,7792129003590,sucaryl
792,7792758013045,Secco de pomelo
793,7794000959903,"Mayonesa, Fanacoa"
794,8480017309532,"Gelatina dia%, Dia"
795,7622300868512,"Jugo en polvo tang, Tang"
796,7791337000780,"serenito, Serenito,La Serenísima"
797,7896321011442,"it,s time"
798,7790580109882,"Extra Fino 60% Cacao, Aguila"
799,7790040374409,"Cereal Mix Chocolate, Arcor,Cereal Mix"
800,7795735000328,"Bizcocho Salado, Don Satur"
801,15030375,galletitas de avena con chocolate
802,7790045000587,"Granola Almendras, avena & coco, Granix,Granola"
803,17934337,genser
804,7791337304017,"Serenito con Rocklets, Serenito,La Serenísima,Danone"
805,7790070318886,"Vitina Clásica, molinos río de la plata"
806,7701362005773,"Juan Valdez, Juan Valdez"
807,7790040930605,"Rumba, Bagley, Rumba"
808,7790639001044,"news, news"
809,7790971002211,ravana gelatina light
810,7790147009440,mermelada ciruela vea
811,7793046008453,"Mermelada de Damasco, Dulcor"
812,7790580119737,dulciora mermelada ciruela
813,11058906,"Ades Chocolatada, Ades"
814,7790045825791,"Frutigran, Gamesa"
815,7794000561618,"caldo de verduras knorr, Knorr"
816,2989087000067,"pan vea, Vea"
817,7790639001976,cola cunnington
818,7798142740177,jugo de limon
819,7790045823568,"avena tradicional, Granix"
820,8480017602879,", Dia"
821,7793360106040,"Manzana, BC,La Campagnola"
822,7798187460115,"can vas
Canvas"
823,7791401000012,harinisima harina de trigo 000
824,7790580504809,"Batata con sabor a Chocolate, Arcor"
825,7898904717895,rich's
826,7791293033198,"Antibacterial fresh, Rexona"
827,41755716,"Desmaquillante pepinos y violetas, Amodil"
828,7798187659557,"Soft skin, WAV"
829,2002138100001,"Esmalte para uñas, Allegro"
